(0.00152463,0) | (-0.00809187,0)
(0.000950631,0) | (-0.00259545,0)
(0.0133337,0) | (-0.0200691,0)
(-0.0155839,0) | (-0.00336266,0)
(-0.0103614,0) | (0.00604995,0)
(0.0482246,0) | (-0.00668363,0)
(-0.0233398,0) | (0.0051637,0)
(-0.00040495,0) | (-0.000273145,0)
(0.00253689,0) | (-0.000125064,0)
(0.00432888,0) | (0.00161799,0)
(0.00378341,0) | (-0.000979202,0)
(0.0148103,0) | (-0.00683308,0)
(0.0499738,0) | (-0.00318114,0)
(-0.0154719,0) | (-0.0115234,0)
(-0.00568208,0) | (0.000174157,0)
(-0.0088102,0) | (0.00175044,0)
(-0.00222389,0) | (-0.0126622,0)
(0.0110554,0) | (-0.0117185,0)
(0.0130998,0) | (-0.0120593,0)
(0.00227993,0) | (-0.00253286,0)
(0.0325765,0) | (-0.0567717,0)
(0.0249117,0) | (-0.0216536,0)
(-0.0326068,0) | (0.0561835,0)
(-0.00552106,0) | (-0.00593907,0)
(0.00549331,0) | (0.0597911,0)
(0.000265049,0) | (0.0011546,0)
(-0.000425999,0) | (2.18887e-05,0)
(-0.0240746,0) | (0.0108313,0)
(-0.0387466,0) | (0.0371306,0)
(0.0024754,0) | (-0.0145694,0)
(-0.0113664,0) | (0.0164522,0)
(0.0177005,0) | (0.00570422,0)
(0.0488404,0) | (-0.00876045,0)
(-0.0147105,0) | (0.0231409,0)
(0.00680212,0) | (-0.0720841,0)
(-0.000217845,0) | (0.00331284,0)
(0.000352801,0) | (0.00278954,0)
(0.00144744,0) | (-1.38723e-06,0)
(0.000895083,0) | (-0.0230945,0)
(-0.0166745,0) | (0.0072592,0)
(-0.0335531,0) | (0.0428979,0)
(0.00660862,0) | (-0.00249366,0)
(-0.0585126,0) | (0.00691854,0)
(0.00749015,0) | (0.0610909,0)
(0.0153599,0) | (0.00654134,0)
(0.00676973,0) | (0.0170713,0)
(-0.0409119,0) | (0.0219135,0)
(-0.000305712,0) | (-0.0131737,0)
(-0.00479795,0) | (0.00687317,0)
(-0.0244184,0) | (-0.00597519,0)
(0.042811,0) | (-0.0176915,0)
(0.00872221,0) | (-0.00512444,0)
(0.0458891,0) | (-0.0156266,0)
(0.00256724,0) | (-0.0456269,0)
(0.0247751,0) | (0.024685,0)
(-0.00237224,0) | (0.00158397,0)
(-0.0081285,0) | (-0.0331846,0)
(-0.00566699,0) | (0.00694842,0)
(5.00724e-05,0) | (0,0)
(0.0012302,0) | (-0.00199609,0)
(0.001088,0) | (0.00262255,0)
(0.00561083,0) | (-0.004276,0)
(-0.00250468,0) | (0.00272932,0)
(0.00388939,0) | (-0.00410336,0)
(0.0229543,0) | (-0.0128785,0)
(0.00325795,0) | (-0.00331272,0)
(0.00421204,0) | (0.00158642,0)
(-0.000928797,0) | (0.00117981,0)
(-0.0196523,0) | (0.0153267,0)
(0.0128431,0) | (-0.0140385,0)
(-0.0445758,0) | (0.0192135,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0.00610062,0) | (-0.00254654,0)
(-0.0249795,0) | (0.0173008,0)
(-0.00771906,0) | (0.00766795,0)
(0.0208177,0) | (-0.0047154,0)
(0.00147448,0) | (-0.00570774,0)
(-0.0146327,0) | (-0.00700734,0)
(0.00109382,0) | (-0.00160228,0)
(-0.0304461,0) | (0.0274542,0)
(-0.00167537,0) | (0.00085164,0)
(0.0475885,0) | (-0.00985224,0)
(-0.000277288,0) | (0.0210915,0)
(-0.0893931,0) | (-0.0106925,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0.00803433,0) | (-0.00689975,0)
(-0.0075843,0) | (0.0455501,0)
(-0.0120415,0) | (0.0203244,0)
(-0.0111822,0) | (-0.021633,0)
(-0.00941661,0) | (0.0100702,0)
(-0.0280483,0) | (-0.0132746,0)
(-0.00733019,0) | (0.00281107,0)
(-0.0245799,0) | (0.052777,0)
(0.0854715,0) | (-0.0896791,0)
(-0.043488,0) | (0.0926687,0)
(-0.000547099,0) | (0.00977856,0)
(0.0131658,0) | (-0.00207441,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0.00458736,0) | (-0.0127937,0)
(-0.00722321,0) | (0.0165125,0)
(0.0111434,0) | (-0.0166542,0)
(0.0237749,0) | (-0.0185436,0)
(0.0121899,0) | (-0.0153108,0)
(0.00973138,0) | (0.0230522,0)
(0.00149859,0) | (-0.00751116,0)
(0.00726291,0) | (-0.00436516,0)
(0.00460784,0) | (-0.00464776,0)
(-0.0320789,0) | (0.0473794,0)
(-0.0208532,0) | (-0.0068536,0)
(-0.000374845,0) | (0.000610361,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(-0.00427671,0) | (0.00605759,0)
(0.0146246,0) | (0.00983442,0)
(-0.00593309,0) | (0.00971313,0)
(-0.0174276,0) | (-0.0145113,0)
(0.000225575,0) | (-0.00182024,0)
(0.0613903,0) | (-0.0794511,0)
(0.00235135,0) | (-0.00536659,0)
(0.072829,0) | (-0.0692448,0)
(0.0090475,0) | (-0.00660133,0)
(-0.0292139,0) | (0.0940332,0)
(0.0995968,0) | (-0.112657,0)
(-0.288298,0) | (0.297,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(-0.0015377,0) | (0.000272621,0)
(-0.00157562,0) | (-0.000619991,0)
(0.00231658,0) | (-0.00197867,0)
(0.00777315,0) | (-0.00330634,0)
(-0.00156512,0) | (0.000575348,0)
(-0.0119798,0) | (0.0177827,0)
(-0.00516045,0) | (0.00400992,0)
(-0.00750091,0) | (0.00848918,0)
(0.00105637,0) | (0.00248086,0)
(-0.0106993,0) | (-0.0106626,0)
(-0.01892,0) | (0.0196198,0)
(0.0523192,0) | (-0.0551537,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0.00110898,0) | (0.00092326,0)
(0.0348653,0) | (-0.048377,0)
(-0.00606796,0) | (0.00428124,0)
(-0.0246052,0) | (0.0400918,0)
(-0.00428865,0) | (0.00210748,0)
(-0.00641467,0) | (-0.00685711,0)
(0.000507062,0) | (-0.000962704,0)
(-0.0503177,0) | (0.0174276,0)
(-0.00613894,0) | (0.00381653,0)
(0.0534658,0) | (-0.0042749,0)
(-0.0111374,0) | (-0.0149036,0)
(0.109095,0) | (0.00606684,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0.0157494,0) | (-0.0152017,0)
(-0.0192163,0) | (0.0306085,0)
(-0.006722,0) | (0.0110748,0)
(-0.015696,0) | (0.000595388,0)
(0.00932734,0) | (-0.0116958,0)
(-0.0459449,0) | (0.0617492,0)
(-0.00750568,0) | (0.00109053,0)
(-0.0175754,0) | (0.0105659,0)
(0.00391774,0) | (-0.00493876,0)
(0.086117,0) | (-0.0760748,0)
(-0.0430337,0) | (0.00931118,0)
(-0.0743723,0) | (0.0105489,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
