,Energy,Gradient,Iteration,Noise,Time
113,-10.76167032,0.06568152,113.0,0.000863,162.36
114,-10.76221724,0.04352365,114.0,0.000681,163.76
115,-10.76241055,0.04840004,115.0,0.000788,165.17
116,-10.76279096,0.04396622,116.0,0.000703,166.58
117,-10.76355055,0.05747971,117.0,0.000679,167.99
118,-10.76255145,0.02956086,118.0,0.000625,169.39
119,-10.76193284,0.05806153,119.0,0.000828,170.8
120,-10.76303299,0.04496766,120.0,0.000626,172.2
121,-10.76274853,0.05358569,121.0,0.000664,173.61
122,-10.76336506,0.04417493,122.0,0.000641,175.02
123,-10.76182617,0.04773649,123.0,0.000697,176.43
124,-10.76358914,0.03644299,124.0,0.000613,177.83
125,-10.76416892,0.05869664,125.0,0.000616,179.31
126,-10.76257896,0.03626935,126.0,0.000627,180.79
127,-10.76135988,0.05993205,127.0,0.000773,182.2
128,-10.76193532,0.04890014,128.0,0.000774,183.61
129,-10.76271172,0.03632784,129.0,0.000611,185.03
130,-10.76385509,0.05189823,130.0,0.000588,186.44
131,-10.7628196,0.04584961,131.0,0.000635,187.85
132,-10.76150963,0.06232168,132.0,0.00092,189.25
133,-10.76324099,0.05276967,133.0,0.000693,190.66
134,-10.76339279,0.04314543,134.0,0.000652,192.06
135,-10.76282687,0.04601403,135.0,0.000673,193.47
136,-10.76237417,0.06192432,136.0,0.00075,194.96
137,-10.7626296,0.0484718,137.0,0.000804,196.37
138,-10.76275846,0.05349689,138.0,0.000805,197.77
139,-10.76350671,0.03845209,139.0,0.000618,199.18
140,-10.76355589,0.03885137,140.0,0.000698,200.58
141,-10.7636516,0.04058198,141.0,0.000587,201.99
142,-10.76377628,0.04674724,142.0,0.000659,203.4
143,-10.76287887,0.04065847,143.0,0.000604,204.8
144,-10.76382957,0.03645981,144.0,0.000611,206.21
145,-10.76401104,0.04992073,145.0,0.000608,207.62
146,-10.76352677,0.03997023,146.0,0.000611,209.12
147,-10.76402993,0.03272826,147.0,0.000572,210.63
148,-10.76558728,0.03637903,148.0,0.000551,212.04
149,-10.76429255,0.04036785,149.0,0.000598,213.45
150,-10.76423967,0.04754616,150.0,0.000748,214.85
151,-10.76428308,0.03165493,151.0,0.000566,216.26
152,-10.76438317,0.02853946,152.0,0.000555,217.67
153,-10.76422553,0.04195382,153.0,0.000615,219.07
154,-10.76476314,0.03263083,154.0,0.000621,220.48
155,-10.76343727,0.04384301,155.0,0.000642,221.88
156,-10.76417454,0.03039533,156.0,0.000587,223.29
157,-10.76352369,0.0529859,157.0,0.000606,224.69
158,-10.76353388,0.04857538,158.0,0.000653,226.09
159,-10.76456106,0.04301241,159.0,0.000582,227.5
160,-10.76418433,0.03320706,160.0,0.000563,228.91
161,-10.76504297,0.04065542,161.0,0.000585,230.32
162,-10.76450857,0.02794188,162.0,0.000546,231.72
163,-10.76356471,0.0324441,163.0,0.00069,233.13
164,-10.76531158,0.03088174,164.0,0.000559,234.53
165,-10.76475318,0.03845977,165.0,0.000558,235.94
166,-10.76362236,0.05850787,166.0,0.00059,237.35
167,-10.7642977,0.03206017,167.0,0.000581,238.82
168,-10.76493041,0.02889667,168.0,0.000557,240.35
169,-10.76335682,0.05848019,169.0,0.000791,241.77
170,-10.76478732,0.03507089,170.0,0.000624,243.18
171,-10.76385786,0.04101714,171.0,0.000625,244.58
172,-10.76432407,0.03350648,172.0,0.000647,245.99
173,-10.76401197,0.03960261,173.0,0.000686,247.39
174,-10.76299269,0.06559998,174.0,0.000626,248.8
175,-10.7644416,0.03035592,175.0,0.000553,250.2
176,-10.76349246,0.04406269,176.0,0.000658,251.6
177,-10.76482154,0.03254359,177.0,0.000568,253.02
178,-10.7636027,0.03967639,178.0,0.000672,254.46
179,-10.76433522,0.03490573,179.0,0.000613,255.86
180,-10.76493211,0.0479273,180.0,0.000606,257.27
181,-10.76407135,0.04146166,181.0,0.000651,258.67
182,-10.76474004,0.03142155,182.0,0.000537,260.07
183,-10.7654713,0.04471572,183.0,0.000572,261.47
184,-10.76395017,0.05262549,184.0,0.000696,262.87
185,-10.7630454,0.04377695,185.0,0.000697,264.28
186,-10.76478495,0.03821073,186.0,0.000549,265.68
187,-10.76469915,0.03975826,187.0,0.000601,267.09
188,-10.765113,0.0345824,188.0,0.000606,268.49
189,-10.76468489,0.0441811,189.0,0.000564,270.06
