,Energy,Gradient,Iteration,Noise,Time
0,-126.69904743,18.6285512,0.0,0.00274,598.65
1,-128.51527065,3.15694745,1.0,0.00242,1199.58
2,-128.81780411,0.9350561,2.0,0.00112,1827.61
3,-128.87284848,0.1216593,3.0,0.000991,2453.79
4,-128.8879067,0.02126363,4.0,0.000938,3232.75
5,-128.89161668,0.01998682,5.0,0.000848,4001.15
6,-128.8955397,0.05035942,6.0,0.000954,4802.92
7,-128.8961974,0.10047403,7.0,0.00104,5482.43
8,-128.89839692,0.04367894,8.0,0.000797,6295.33
9,-128.89976824,0.03220665,9.0,0.000787,7119.47
10,-128.89965084,0.05228104,10.0,0.000727,7910.81
11,-128.90326001,0.03189716,11.0,0.00072,8734.51
12,-128.90340591,0.01952575,12.0,0.000764,9554.39
13,-128.9047845,0.05918206,13.0,0.000661,10398.63
14,-128.90564643,0.02276248,14.0,0.000739,11060.11
15,-128.90505035,0.02015325,15.0,0.000725,11896.52
16,-128.90679645,0.029063,16.0,0.000681,12576.84
17,-128.90605432,0.02428628,17.0,0.000641,13266.44
18,-128.90727324,0.04084006,18.0,0.00069,14029.42
19,-128.9068397,0.04669765,19.0,0.000757,14845.25
20,-128.90634396,0.02032432,20.0,0.000726,15527.31
21,-128.90658244,0.05304409,21.0,0.000716,16229.06
22,-128.90774192,0.04403724,22.0,0.000655,16877.67
23,-128.90821517,0.04714457,23.0,0.000713,17567.11
24,-128.90697059,0.05539993,24.0,0.00077,18145.54
25,-128.90631805,0.02112993,25.0,0.000671,18702.89
26,-128.90760704,0.0195313,26.0,0.000722,19475.25
27,-128.90707953,0.01779164,27.0,0.000636,20265.52
28,-128.90676225,0.01988651,28.0,0.00101,21167.3
29,-128.90705379,0.03257991,29.0,0.000625,21998.11
30,-128.90593755,0.015369,30.0,0.000713,22851.14
31,-128.90759845,0.02209584,31.0,0.000805,23509.3
32,-128.90640817,0.03219966,32.0,0.000698,24332.87
33,-128.90676068,0.01750177,33.0,0.000901,25143.06
34,-128.90624186,0.02310224,34.0,0.000711,26015.81
35,-128.90753517,0.03386136,35.0,0.000668,26839.76
36,-128.90857786,0.03096748,36.0,0.000662,27416.49
37,-128.907294,0.05642571,37.0,0.000785,28108.98
38,-128.90763444,0.02385702,38.0,0.000682,28880.04
39,-128.90844901,0.01937561,39.0,0.0007,29549.5
40,-128.90673697,0.0521808,40.0,0.000849,30209.23
41,-128.90779158,0.03406661,41.0,0.000785,31060.77
42,-128.90576786,0.0295202,42.0,0.000857,31914.4
43,-128.90855965,0.01819705,43.0,0.00068,32735.97
44,-128.90759364,0.1293958,44.0,0.000907,33497.89
45,-128.90763914,0.02093503,45.0,0.000794,34226.72
46,-128.90633517,0.03085204,46.0,0.000657,35034.16
47,-128.90696064,0.02060743,47.0,0.000629,35886.02
48,-128.90740499,0.02458688,48.0,0.000684,36715.7
49,-128.90703622,0.03160597,49.0,0.000789,37423.75
