1	0.478	0.235	0.501	0	0.266	0.522	0.243	0	0.256	0.499	1	0.979	0	1.021	0	
0.478	0.478	0.235	0.235	0	0	0	0.243	0	0	0.243	0.478	0.713	0	0.243	0	
0.235	0.235	0.235	0.235	0	0	0	0	0	0	0	0.235	0.47	0	0	0	
0.501	0.235	0.235	0.501	0	0.266	0.266	0	0	0	0	0.501	0.736	0	0.266	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.266	0	0	0.266	0	0.266	0.266	0	0	0	0	0.266	0.266	0	0.266	0	
0.522	0	0	0.266	0	0.266	0.522	0	0	0.256	0.256	0.522	0.266	0	0.778	0	
0.243	0.243	0	0	0	0	0	0.243	0	0	0.243	0.243	0.243	0	0.243	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.256	0	0	0	0	0	0.256	0	0	0.256	0.256	0.256	0	0	0.512	0	
0.499	0.243	0	0	0	0	0.256	0.243	0	0.256	0.499	0.499	0.243	0	0.755	0	
1	0.478	0.235	0.501	0	0.266	0.522	0.243	0	0.256	0.499	1	0.979	0	1.021	0	
0.979	0.713	0.47	0.736	0	0.266	0.266	0.243	0	0	0.243	0.979	1.449	0	0.509	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1.021	0.243	0	0.266	0	0.266	0.778	0.243	0	0.512	0.755	1.021	0.509	0	1.533	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
