16 16
-1.06965	-0.516862	-0.209412	-0.539962	0	-0.330551	-0.552789	-0.30745	0	-0.222239	-0.529688	-1.06965	-1.05682	0	-1.08248	0
-0.516862	-0.387605	-0.144609	-0.209331	0	-0.0647216	-0.129257	-0.242996	0	-0.0645352	-0.307531	-0.516862	-0.596935	0	-0.436788	0
-0.209412	-0.144609	-0.0806698	-0.147686	0	-0.0670159	-0.0648028	-0.0639393	0	0.00221317	-0.0617262	-0.209412	-0.292295	0	-0.126529	0
-0.539962	-0.209331	-0.147686	-0.410706	0	-0.26302	-0.330632	-0.061645	0	-0.0676118	-0.129257	-0.539962	-0.620036	0	-0.459889	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.330551	-0.0647216	-0.0670159	-0.26302	0	-0.196004	-0.265829	0.0022943	0	-0.069825	-0.0675307	-0.330551	-0.327741	0	-0.33336	0
-0.552789	-0.129257	-0.0648028	-0.330632	0	-0.265829	-0.423532	-0.0644541	0	-0.157704	-0.222158	-0.552789	-0.459889	0	-0.64569	0
-0.30745	-0.242996	-0.0639393	-0.061645	0	0.0022943	-0.0644541	-0.179056	0	-0.0667484	-0.245805	-0.30745	-0.304641	0	-0.310259	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-0.222239	-0.0645352	0.00221317	-0.0676118	0	-0.069825	-0.157704	-0.0667484	0	-0.0878786	-0.154627	-0.222239	-0.132147	0	-0.312331	0
-0.529688	-0.307531	-0.0617262	-0.129257	0	-0.0675307	-0.222158	-0.245805	0	-0.154627	-0.400432	-0.529688	-0.436788	0	-0.622589	0
-1.06965	-0.516862	-0.209412	-0.539962	0	-0.330551	-0.552789	-0.30745	0	-0.222239	-0.529688	-1.06965	-1.05682	0	-1.08248	0
-1.05682	-0.596935	-0.292295	-0.620036	0	-0.327741	-0.459889	-0.304641	0	-0.132147	-0.436788	-1.05682	-1.21697	0	-0.896676	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-1.08248	-0.436788	-0.126529	-0.459889	0	-0.33336	-0.64569	-0.310259	0	-0.312331	-0.622589	-1.08248	-0.896676	0	-1.26828	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
