,Iteration,Energy,Noise,Gradient,Time
113,113.0,-75.62804637,0.000772,0.03736119,430.43
114,114.0,-75.62859872,0.000748,0.03535581,434.15
115,115.0,-75.62768477,0.000774,0.02853191,437.88
116,116.0,-75.6281251,0.00075,0.03183531,441.61
117,117.0,-75.62815614,0.000745,0.02581568,445.36
118,118.0,-75.62808767,0.00074,0.02522308,449.07
119,119.0,-75.62806615,0.000779,0.05697908,452.8
120,120.0,-75.6281401,0.000746,0.02694285,456.54
121,121.0,-75.62815291,0.000756,0.02508879,460.34
122,122.0,-75.62818242,0.000755,0.02609493,464.14
123,123.0,-75.62744716,0.000728,0.02558124,467.86
124,124.0,-75.62849905,0.000722,0.03663071,471.62
125,125.0,-75.62834278,0.000712,0.02354768,475.34
126,126.0,-75.62838256,0.000788,0.05161493,479.06
127,127.0,-75.62827982,0.000751,0.02817608,482.78
128,128.0,-75.62840125,0.000746,0.02644921,486.52
129,129.0,-75.62877283,0.000739,0.02630705,490.3
130,130.0,-75.62802837,0.000731,0.02613132,494.03
131,131.0,-75.62846953,0.000803,0.02367708,497.75
132,132.0,-75.62828596,0.000767,0.02620828,501.49
133,133.0,-75.62838244,0.00088,0.03268816,505.26
134,134.0,-75.62708196,0.000805,0.03499125,508.98
135,135.0,-75.62856131,0.000745,0.02634945,512.73
136,136.0,-75.62809191,0.000705,0.02451551,516.46
137,137.0,-75.62843738,0.000722,0.03352614,520.25
138,138.0,-75.62858408,0.000768,0.02720763,524.05
139,139.0,-75.62838278,0.000784,0.02744348,527.79
140,140.0,-75.62841708,0.000869,0.02769174,531.68
141,141.0,-75.62790825,0.000863,0.02821508,536.1
142,142.0,-75.62836138,0.000883,0.02797703,539.82
143,143.0,-75.62810834,0.000799,0.02897599,543.54
144,144.0,-75.62841202,0.000771,0.02728388,547.29
145,145.0,-75.62839336,0.000734,0.02651362,551.02
146,146.0,-75.62836438,0.000774,0.02510418,554.75
147,147.0,-75.62749315,0.000734,0.02624421,558.46
148,148.0,-75.62860386,0.000752,0.02361766,562.19
149,149.0,-75.62863745,0.000851,0.05693286,565.93
150,150.0,-75.62868616,0.000804,0.03253269,569.64
151,151.0,-75.62838563,0.000749,0.02545883,573.36
152,152.0,-75.62833189,0.000768,0.02211055,577.14
153,153.0,-75.62823755,0.000738,0.0231698,580.87
154,154.0,-75.62843839,0.000756,0.03584552,584.66
155,155.0,-75.62845754,0.000758,0.02528151,588.39
156,156.0,-75.62860434,0.000745,0.02222088,592.13
157,157.0,-75.62837722,0.000764,0.02712914,595.85
158,158.0,-75.62859363,0.000832,0.03123394,599.57
159,159.0,-75.62804373,0.000792,0.03510614,603.29
160,160.0,-75.62907114,0.000737,0.02082731,607.07
161,161.0,-75.62860617,0.000804,0.02998697,610.81
162,162.0,-75.62861854,0.00081,0.02757656,614.53
163,163.0,-75.6278956,0.000879,0.02597048,618.24
164,164.0,-75.62842274,0.000922,0.02732599,621.96
165,165.0,-75.62787002,0.000751,0.03376251,625.7
166,166.0,-75.62890977,0.000701,0.02223978,629.41
167,167.0,-75.62864912,0.000738,0.02221077,633.14
168,168.0,-75.62838401,0.0011,0.03567882,636.91
169,169.0,-75.62510432,0.000915,0.040179,640.67
170,170.0,-75.62878529,0.00077,0.02017737,644.46
171,171.0,-75.62899035,0.000931,0.03288261,648.19
172,172.0,-75.62750014,0.000811,0.03359128,651.92
173,173.0,-75.62888666,0.000762,0.02858621,655.64
174,174.0,-75.62875409,0.000844,0.02319593,659.37
175,175.0,-75.62868325,0.000734,0.02223942,663.09
176,176.0,-75.62913734,0.00114,0.03132025,666.85
177,177.0,-75.62791333,0.000817,0.02729414,670.64
178,178.0,-75.62885988,0.000703,0.01831303,674.35
179,179.0,-75.62872834,0.000751,0.02224336,678.07
180,180.0,-75.62814092,0.000777,0.02280846,681.81
181,181.0,-75.62879489,0.000754,0.02395835,685.58
182,182.0,-75.62896962,0.000741,0.01923705,689.3
183,183.0,-75.62962283,0.000722,0.0226428,693.03
184,184.0,-75.62854393,0.000761,0.02254811,696.81
185,185.0,-75.62862659,0.000737,0.02084063,700.58
186,186.0,-75.62902993,0.000767,0.01949854,704.36
187,187.0,-75.62902645,0.000781,0.03804259,708.12
188,188.0,-75.62892981,0.000749,0.01984171,711.86
189,189.0,-75.62874327,0.000757,0.02037035,716.59
190,190.0,-75.62853188,0.000752,0.02337806,720.33
191,191.0,-75.62812115,0.000849,0.02090774,724.07
192,192.0,-75.6286878,0.000793,0.02599581,727.9
193,193.0,-75.6291024,0.000802,0.03294681,731.63
194,194.0,-75.62815205,0.000769,0.02158665,735.35
195,195.0,-75.62952867,0.00073,0.01988402,739.09
196,196.0,-75.62864021,0.00075,0.02069908,742.97
197,197.0,-75.62883721,0.000741,0.02348235,746.71
198,198.0,-75.62832902,0.000808,0.02255234,750.44
199,199.0,-75.6284496,0.000782,0.02061893,754.16
200,200.0,-75.62881306,0.000734,0.01746117,757.99
201,201.0,-75.62870974,0.000812,0.02218752,761.74
202,202.0,-75.62847274,0.000768,0.02150877,765.62
203,203.0,-75.62937845,0.000731,0.02103818,769.37
204,204.0,-75.62892092,0.000743,0.01677929,773.1
205,205.0,-75.6292084,0.000724,0.01750073,776.85
206,206.0,-75.62898452,0.000749,0.01763669,780.57
207,207.0,-75.62923039,0.000738,0.01740745,784.29
208,208.0,-75.62897749,0.000765,0.01751058,788.08
209,209.0,-75.62935853,0.00075,0.01919519,791.8
210,210.0,-75.62918406,0.000767,0.01851858,795.53
211,211.0,-75.62897015,0.00077,0.02035556,799.25
212,212.0,-75.62931022,0.000778,0.01956545,803.13
213,213.0,-75.62847893,0.000866,0.02290224,806.88
214,214.0,-75.62844225,0.000805,0.02043814,810.6
215,215.0,-75.62915817,0.000787,0.01798462,814.31
216,216.0,-75.62902443,0.000732,0.01807758,818.11
217,217.0,-75.62865165,0.000764,0.01981364,821.85
218,218.0,-75.62901444,0.000714,0.01692541,825.71
219,219.0,-75.62862483,0.000765,0.01763795,829.47
220,220.0,-75.62868474,0.000718,0.01912667,833.19
221,221.0,-75.62870343,0.00074,0.01920562,836.91
222,222.0,-75.62938794,0.000754,0.01847654,840.63
223,223.0,-75.62905288,0.000742,0.01848983,844.34
224,224.0,-75.62948523,0.000716,0.01634129,848.13
225,225.0,-75.62973545,0.000748,0.01629101,851.86
226,226.0,-75.62918991,0.000804,0.01893282,855.59
227,227.0,-75.62835584,0.000774,0.09607536,859.35
228,228.0,-75.62923406,0.000737,0.01493642,863.26
229,229.0,-75.62922887,0.00077,0.01743025,867.02
230,230.0,-75.62889731,0.000708,0.01742174,870.77
231,231.0,-75.62856069,0.000734,0.02128495,874.51
232,232.0,-75.62942612,0.000828,0.01735034,878.34
233,233.0,-75.62779415,0.000915,0.02441866,882.08
234,234.0,-75.62752133,0.000802,0.02392126,885.98
235,235.0,-75.62896538,0.000706,0.01669353,889.73
236,236.0,-75.62856075,0.000734,0.01520601,893.45
237,237.0,-75.62908321,0.000752,0.01555219,897.18
238,238.0,-75.62929381,0.000727,0.02031774,900.9
239,239.0,-75.62870271,0.000733,0.01727703,904.65
240,240.0,-75.62926215,0.00081,0.02113741,908.42
241,241.0,-75.6288006,0.000724,0.01760831,912.16
242,242.0,-75.62918868,0.000908,0.02229079,915.88
243,243.0,-75.62943724,0.000799,0.02250897,919.61
244,244.0,-75.62917308,0.000768,0.01802015,923.47
245,245.0,-75.62897887,0.00077,0.01667394,927.2
246,246.0,-75.62922617,0.000753,0.02061382,930.93
247,247.0,-75.62920657,0.000739,0.01496192,934.67
248,248.0,-75.62909727,0.000965,0.01895574,938.49
249,249.0,-75.62679568,0.000828,0.02356536,942.21
250,250.0,-75.62860522,0.000742,0.01515163,946.06
251,251.0,-75.62911954,0.00075,0.01643481,949.81
252,252.0,-75.6288206,0.000723,0.01622279,953.52
253,253.0,-75.62938173,0.000774,0.01794742,957.25
254,254.0,-75.62866289,0.00073,0.01594788,960.98
255,255.0,-75.6291111,0.000707,0.01925929,964.71
256,256.0,-75.62935231,0.000727,0.01486062,968.49
257,257.0,-75.62914286,0.000718,0.01454078,972.22
258,258.0,-75.62911355,0.000769,0.01457042,975.94
259,259.0,-75.62895241,0.000731,0.02697317,979.66
260,260.0,-75.62857309,0.000753,0.01477244,983.54
261,261.0,-75.62838108,0.000759,0.01608408,987.28
262,262.0,-75.62862449,0.00076,0.01652138,991.01
263,263.0,-75.62849071,0.000762,0.01644387,994.75
264,264.0,-75.62924956,0.000722,0.01400497,998.55
265,265.0,-75.62968266,0.00074,0.0150016,1002.27
266,266.0,-75.62962341,0.000764,0.01522754,1006.13
267,267.0,-75.6290263,0.000785,0.01800456,1009.87
268,268.0,-75.62856822,0.000723,0.03085579,1015.39
269,269.0,-75.62961308,0.000744,0.01623176,1019.13
270,270.0,-75.62900784,0.000754,0.01363699,1022.86
271,271.0,-75.62911554,0.000742,0.01484038,1026.59
272,272.0,-75.62960379,0.000742,0.01534765,1030.41
273,273.0,-75.62929374,0.000765,0.01539113,1034.14
274,274.0,-75.6297046,0.000772,0.01769854,1037.86
275,275.0,-75.62904184,0.000744,0.01654021,1041.61
276,276.0,-75.6293806,0.000732,0.01700465,1045.35
277,277.0,-75.62924973,0.000726,0.01586458,1049.08
278,278.0,-75.62947764,0.000752,0.0146224,1052.82
279,279.0,-75.62820838,0.000797,0.0210174,1056.54
280,280.0,-75.629325,0.000752,0.01580532,1060.34
281,281.0,-75.62872932,0.000758,0.01642955,1064.06
282,282.0,-75.6287649,0.000735,0.0153749,1067.82
283,283.0,-75.62837184,0.000713,0.02523533,1071.57
284,284.0,-75.6291249,0.000719,0.01322272,1075.28
285,285.0,-75.62960836,0.000735,0.01945112,1079.02
286,286.0,-75.62911132,0.000808,0.01423901,1082.75
287,287.0,-75.62881262,0.000754,0.02542459,1086.47
288,288.0,-75.62924425,0.000807,0.01459454,1090.26
289,289.0,-75.62877456,0.00085,0.01548947,1093.99
290,290.0,-75.62944213,0.000758,0.03100537,1097.72
291,291.0,-75.62867826,0.000711,0.01273479,1101.47
292,292.0,-75.62912902,0.000722,0.01449398,1105.23
293,293.0,-75.62916148,0.000773,0.01281589,1108.96
294,294.0,-75.6293972,0.000785,0.0150694,1112.7
295,295.0,-75.6285197,0.000744,0.0146591,1116.43
296,296.0,-75.62937109,0.000725,0.01452528,1120.24
297,297.0,-75.6288865,0.000758,0.06091805,1123.96
298,298.0,-75.62874182,0.000772,0.01396368,1127.69
299,299.0,-75.62989134,0.000819,0.01713473,1131.48
300,300.0,-75.62864852,0.000751,0.01559351,1135.19
301,301.0,-75.62967732,0.000715,0.01420937,1138.91
302,302.0,-75.62961862,0.000711,0.0129435,1142.63
303,303.0,-75.62893493,0.00078,0.01447927,1146.36
304,304.0,-75.62939142,0.000755,0.01483559,1150.13
305,305.0,-75.62931521,0.000738,0.01322593,1153.85
306,306.0,-75.6293407,0.000739,0.01426038,1157.58
307,307.0,-75.6293208,0.000719,0.01294549,1161.32
308,308.0,-75.62938795,0.000712,0.01178965,1165.1
309,309.0,-75.62962595,0.000734,0.01363836,1168.83
310,310.0,-75.62927315,0.000759,0.01277081,1172.58
311,311.0,-75.62925931,0.000722,0.01315378,1176.31
312,312.0,-75.62953823,0.000726,0.01288883,1180.14
313,313.0,-75.6287876,0.000707,0.0122231,1183.91
314,314.0,-75.62936799,0.000713,0.01280645,1187.66
315,315.0,-75.62864354,0.00074,0.01622379,1191.42
316,316.0,-75.62908752,0.000774,0.01554686,1195.16
317,317.0,-75.62869261,0.000731,0.01253857,1198.88
318,318.0,-75.62938357,0.000734,0.02059134,1202.6
319,319.0,-75.63000169,0.000747,0.01196156,1206.32
320,320.0,-75.62894834,0.000768,0.01271838,1210.11
321,321.0,-75.62884739,0.000728,0.01334607,1213.84
322,322.0,-75.62898474,0.000744,0.01861793,1217.55
323,323.0,-75.62899171,0.000736,0.01300627,1221.29
324,324.0,-75.6291694,0.000755,0.01155943,1225.05
325,325.0,-75.6292114,0.000734,0.01047172,1228.79
326,326.0,-75.62945665,0.000742,0.01216098,1232.53
327,327.0,-75.62970352,0.000839,0.01127429,1236.26
328,328.0,-75.62854357,0.000725,0.0117291,1240.05
329,329.0,-75.62858569,0.000725,0.01109483,1243.81
330,330.0,-75.62903096,0.000838,0.01302096,1247.59
331,331.0,-75.62899335,0.00074,0.01275377,1251.37
332,332.0,-75.62901363,0.00075,0.01345689,1255.1
333,333.0,-75.62926828,0.000754,0.01518741,1258.83
334,334.0,-75.62879709,0.000739,0.01233451,1262.55
335,335.0,-75.62978443,0.000755,0.01067378,1266.29
336,336.0,-75.62920838,0.000775,0.01252221,1270.07
337,337.0,-75.6293179,0.000762,0.01308388,1273.8
338,338.0,-75.62908764,0.000751,0.01287628,1277.52
339,339.0,-75.62904397,0.000747,0.01263526,1281.26
340,340.0,-75.62903151,0.000728,0.01301351,1285.02
341,341.0,-75.62929657,0.000738,0.01161785,1288.76
342,342.0,-75.62912635,0.000721,0.01129916,1292.49
343,343.0,-75.630034,0.00074,0.01145441,1296.21
344,344.0,-75.62912775,0.00075,0.01240133,1300.02
345,345.0,-75.62927372,0.000712,0.01126427,1303.75
346,346.0,-75.62957555,0.000745,0.01093872,1307.54
347,347.0,-75.62943571,0.00076,0.01464432,1311.31
348,348.0,-75.62987575,0.000801,0.01635759,1316.49
349,349.0,-75.6280433,0.000748,0.01313819,1320.22
350,350.0,-75.62918239,0.000721,0.01316137,1323.94
351,351.0,-75.62870777,0.000748,0.0116977,1327.82
352,352.0,-75.62920299,0.000725,0.01271197,1331.53
353,353.0,-75.6290883,0.000716,0.01058721,1335.26
354,354.0,-75.62964315,0.000717,0.01150214,1338.98
355,355.0,-75.62931094,0.000758,0.01239446,1342.69
356,356.0,-75.62875437,0.000714,0.01115989,1346.42
357,357.0,-75.62940403,0.000715,0.01198499,1350.16
358,358.0,-75.62893775,0.00072,0.01130914,1353.88
359,359.0,-75.62959787,0.000729,0.01165252,1357.69
360,360.0,-75.62891974,0.000738,0.01298992,1361.41
361,361.0,-75.62897368,0.000708,0.01103395,1365.2
362,362.0,-75.62924225,0.000731,0.01177165,1368.94
363,363.0,-75.62863878,0.000807,0.01124864,1372.67
364,364.0,-75.62895773,0.000806,0.0114469,1376.39
365,365.0,-75.62904711,0.000829,0.01198804,1380.14
366,366.0,-75.62908761,0.000717,0.01092827,1383.86
367,367.0,-75.62878951,0.000718,0.0137522,1387.64
368,368.0,-75.62845645,0.000765,0.01062439,1391.37
369,369.0,-75.62906346,0.00076,0.01256344,1395.09
370,370.0,-75.62985878,0.000801,0.01091145,1398.8
371,371.0,-75.62838828,0.00084,0.01113148,1402.52
372,372.0,-75.62974672,0.000774,0.01686721,1406.25
373,373.0,-75.62847965,0.000747,0.01268298,1409.99
374,374.0,-75.62920564,0.000733,0.01298051,1413.75
375,375.0,-75.62833403,0.000708,0.01096787,1417.54
376,376.0,-75.62953566,0.000806,0.01178241,1421.26
377,377.0,-75.6290937,0.000736,0.01230586,1425.02
378,378.0,-75.62942427,0.000728,0.01216076,1428.78
379,379.0,-75.62881036,0.00073,0.01238619,1432.52
380,380.0,-75.62944981,0.000725,0.01105196,1436.24
381,381.0,-75.62949742,0.000734,0.01358244,1439.98
382,382.0,-75.62923505,0.000776,0.0119131,1443.7
383,383.0,-75.62911147,0.000753,0.01254192,1447.5
384,384.0,-75.6292559,0.000735,0.01377579,1451.23
385,385.0,-75.62959065,0.000748,0.01107275,1454.95
386,386.0,-75.62922741,0.000734,0.0128636,1458.66
387,387.0,-75.62847168,0.000754,0.01211998,1462.38
388,388.0,-75.63012836,0.000755,0.0133823,1466.13
389,389.0,-75.62931031,0.000758,0.01106116,1469.86
390,390.0,-75.62941602,0.000736,0.01219088,1473.6
391,391.0,-75.62942135,0.000771,0.0126607,1477.39
392,392.0,-75.62907167,0.000861,0.01341578,1481.11
393,393.0,-75.6289575,0.000815,0.01297136,1484.85
394,394.0,-75.62855,0.000751,0.01251245,1488.6
395,395.0,-75.629774,0.00074,0.01130624,1492.35
396,396.0,-75.62909812,0.000771,0.01313207,1496.06
397,397.0,-75.62871312,0.000739,0.01277814,1499.8
398,398.0,-75.62833154,0.00071,0.01261611,1503.52
399,399.0,-75.62955714,0.000733,0.0125554,1507.31
400,400.0,-75.62948831,0.000741,0.01282467,1511.06
401,401.0,-75.62893768,0.000776,0.01316447,1514.82
402,402.0,-75.6290165,0.000818,0.03446948,1518.57
403,403.0,-75.62919432,0.000736,0.01260141,1522.31
404,404.0,-75.62922684,0.00071,0.01236826,1526.05
405,405.0,-75.62922294,0.000726,0.01341384,1529.79
406,406.0,-75.62925057,0.00072,0.01762471,1533.54
407,407.0,-75.62894743,0.000745,0.01251652,1537.32
408,408.0,-75.62901837,0.000776,0.01276894,1541.06
409,409.0,-75.62937018,0.000793,0.01371225,1544.83
410,410.0,-75.62997004,0.000779,0.01277995,1548.56
411,411.0,-75.62911229,0.000874,0.01432589,1552.31
412,412.0,-75.62834458,0.000744,0.01738298,1556.04
413,413.0,-75.62911133,0.000761,0.01302106,1559.76
414,414.0,-75.62917786,0.000717,0.01612944,1563.47
415,415.0,-75.62924378,0.00072,0.01349072,1567.24
416,416.0,-75.62883741,0.000703,0.01403827,1570.97
417,417.0,-75.629399,0.000705,0.0110165,1574.7
418,418.0,-75.62897914,0.000809,0.01422969,1578.42
419,419.0,-75.6286134,0.000735,0.01172095,1582.18
420,420.0,-75.62956006,0.000748,0.01273169,1585.96
421,421.0,-75.62963254,0.000727,0.0129672,1589.7
422,422.0,-75.6293824,0.00112,0.01418024,1593.45
423,423.0,-75.62583498,0.000901,0.02467099,1597.23
424,424.0,-75.6281307,0.000786,0.02090311,1600.97
425,425.0,-75.62890671,0.000744,0.01446981,1604.73
426,426.0,-75.62885911,0.000754,0.01608417,1608.47
427,427.0,-75.62914018,0.000743,0.01365593,1612.22
428,428.0,-75.62963959,0.000755,0.01534365,1616.93
429,429.0,-75.62905519,0.00074,0.01316177,1620.67
430,430.0,-75.62873974,0.000753,0.01638595,1624.4
431,431.0,-75.62985976,0.000734,0.01237191,1628.24
432,432.0,-75.6294725,0.000783,0.0144595,1631.96
433,433.0,-75.62827191,0.000801,0.01435818,1635.71
