,Iteration,Energy,Noise,Gradient,Time
0,0.0,-75.47034421,0.00223,0.17563349,66.8
1,1.0,-75.57690711,0.00114,0.07349903,111.1
2,2.0,-75.60431821,0.00101,0.0474664,194.47
3,3.0,-75.6121125,0.00091,0.04280455,295.83
4,4.0,-75.61786628,0.000834,0.03515395,439.34
5,5.0,-75.62234141,0.000801,0.03783519,533.58
6,6.0,-75.62492159,0.000758,0.04378345,605.91
7,7.0,-75.6265542,0.000739,0.03381697,711.93
8,8.0,-75.62700808,0.000719,0.03054423,811.89
9,9.0,-75.62845539,0.00075,0.03789709,919.35
10,10.0,-75.62787016,0.000721,0.03343314,1041.13
11,11.0,-75.62868704,0.000725,0.03269239,1165.74
12,12.0,-75.62883637,0.000743,0.03193934,1311.31
13,13.0,-75.62850838,0.000688,0.03585018,1457.88
14,14.0,-75.62930314,0.000697,0.03093538,1601.12
15,15.0,-75.62887305,0.000722,0.04198597,1731.3
16,16.0,-75.62916298,0.000715,0.04086924,1882.61
17,17.0,-75.62962288,0.000697,0.03476735,1993.34
18,18.0,-75.62894576,0.00106,0.09078473,2147.28
19,19.0,-75.62941081,0.000729,0.07847907,2225.31
20,20.0,-75.62915625,0.000683,0.03246507,2369.16
21,21.0,-75.6284591,0.000703,0.04088507,2469.51
22,22.0,-75.62934734,0.000702,0.04764809,2601.62
23,23.0,-75.62987698,0.000729,0.03853188,2737.02
24,24.0,-75.62918382,0.000722,0.03423991,2891.41
25,25.0,-75.62992574,0.000664,0.03303005,3004.87
26,26.0,-75.6294912,0.000811,0.08159149,3135.78
27,27.0,-75.62926611,0.000764,0.05440258,3242.04
28,28.0,-75.62947672,0.000719,0.05166431,3370.13
29,29.0,-75.62954963,0.000799,0.05726945,3462.21
30,30.0,-75.62965633,0.000694,0.05310352,3583.95
31,31.0,-75.63009281,0.000736,0.05019456,3736.55
32,32.0,-75.63014322,0.000801,0.08310448,3861.92
33,33.0,-75.6295762,0.000719,0.03849634,4011.4
34,34.0,-75.62960226,0.000775,0.05065235,4162.27
35,35.0,-75.6300898,0.000728,0.0543112,4298.4
36,36.0,-75.62995659,0.000749,0.04908989,4430.81
37,37.0,-75.629577,0.000737,0.08966559,4541.86
38,38.0,-75.62926898,0.000707,0.03548478,4679.63
39,39.0,-75.62962792,0.000788,0.04286479,4828.63
40,40.0,-75.63024007,0.00074,0.03875967,4979.57
41,41.0,-75.62961015,0.000726,0.04232996,5060.5
42,42.0,-75.62942113,0.000713,0.04354394,5199.18
43,43.0,-75.62976055,0.000701,0.05184764,5341.81
44,44.0,-75.62939595,0.000695,0.04031921,5458.1
45,45.0,-75.62936227,0.000754,0.04662051,5590.03
46,46.0,-75.62992152,0.00079,0.05100327,5733.96
47,47.0,-75.63017307,0.000728,0.04392156,5831.31
48,48.0,-75.62931784,0.00074,0.03735199,5934.71
49,49.0,-75.63008307,0.000754,0.04901678,6034.63
