,Iteration,Energy,Noise,Gradient,Time
0,0.0,-75.47034421,0.00223,0.17563349,61.48
1,1.0,-75.57739414,0.00128,0.0749535,93.68
2,2.0,-75.60458197,0.000962,0.04957781,165.23
3,3.0,-75.6132771,0.000945,0.03490017,255.47
4,4.0,-75.61826691,0.000891,0.0365684,337.59
5,5.0,-75.62345967,0.000779,0.03293903,412.3
6,6.0,-75.62559797,0.000767,0.03036995,507.86
7,7.0,-75.62660305,0.000725,0.03471329,590.54
8,8.0,-75.62744722,0.000704,0.03056848,680.66
9,9.0,-75.62788631,0.000735,0.03291057,759.48
10,10.0,-75.62775177,0.000723,0.05957846,857.91
11,11.0,-75.62820478,0.000678,0.03067559,943.15
12,12.0,-75.62837088,0.000886,0.03737638,1053.68
13,13.0,-75.62889622,0.000736,0.03908546,1162.55
14,14.0,-75.62901344,0.000728,0.02720155,1239.91
15,15.0,-75.62933679,0.000708,0.02989684,1314.41
16,16.0,-75.62960375,0.000678,0.03277221,1402.34
17,17.0,-75.62927871,0.000706,0.03591408,1492.68
18,18.0,-75.62921714,0.000725,0.03916518,1601.78
19,19.0,-75.62981743,0.000799,0.04946396,1681.89
20,20.0,-75.62951659,0.000702,0.03789099,1748.41
21,21.0,-75.62940845,0.0007,0.0316531,1836.32
22,22.0,-75.62937424,0.000761,0.03794994,1924.32
23,23.0,-75.62932122,0.000871,0.13296521,2020.08
24,24.0,-75.62962709,0.000702,0.03648839,2099.96
25,25.0,-75.62920251,0.000715,0.03921534,2174.47
26,26.0,-75.62921758,0.000722,0.0464683,2255.83
27,27.0,-75.62895811,0.000697,0.03558031,2348.93
28,28.0,-75.62918612,0.000715,0.04538315,2412.77
29,29.0,-75.62963426,0.000688,0.03342675,2554.87
30,30.0,-75.63020142,0.000725,0.03620071,2635.05
31,31.0,-75.62970394,0.000713,0.03831001,2767.75
32,32.0,-75.62957187,0.000711,0.0357707,2918.24
33,33.0,-75.62913297,0.000701,0.038874,3019.65
34,34.0,-75.62962329,0.000747,0.12443985,3096.63
35,35.0,-75.62933658,0.000687,0.03030057,3174.34
36,36.0,-75.62987444,0.000732,0.03606056,3274.98
37,37.0,-75.62951924,0.000757,0.06235384,3352.5
38,38.0,-75.62958569,0.000739,0.04640299,3468.02
39,39.0,-75.62938424,0.000833,0.04202525,3540.11
40,40.0,-75.62949764,0.00071,0.03427115,3609.25
41,41.0,-75.62981288,0.000702,0.0500824,3715.2
42,42.0,-75.62929906,0.000698,0.06090778,3817.03
43,43.0,-75.62941382,0.000704,0.03688553,3931.83
44,44.0,-75.62992264,0.000705,0.03456409,4047.74
45,45.0,-75.62955353,0.000756,0.03340787,4151.39
46,46.0,-75.6302263,0.000727,0.03707139,4215.4
47,47.0,-75.62970743,0.000679,0.03271091,4281.54
48,48.0,-75.62957034,0.000737,0.09196333,4357.86
49,49.0,-75.62985247,0.00077,0.04369415,4434.85
