,Iteration,Energy,Noise,Gradient,Time
0,0.0,-126.69904743,0.00274,18.6285512,598.65
1,1.0,-128.51527065,0.00242,3.15694745,1199.58
2,2.0,-128.81780411,0.00112,0.9350561,1827.61
3,3.0,-128.87284848,0.000991,0.1216593,2453.79
4,4.0,-128.8879067,0.000938,0.02126363,3232.75
5,5.0,-128.89161668,0.000848,0.01998682,4001.15
6,6.0,-128.8955397,0.000954,0.05035942,4802.92
7,7.0,-128.8961974,0.00104,0.10047403,5482.43
8,8.0,-128.89839692,0.000797,0.04367894,6295.33
9,9.0,-128.89976824,0.000787,0.03220665,7119.47
10,10.0,-128.89965084,0.000727,0.05228104,7910.81
11,11.0,-128.90326001,0.00072,0.03189716,8734.51
12,12.0,-128.90340591,0.000764,0.01952575,9554.39
13,13.0,-128.9047845,0.000661,0.05918206,10398.63
14,14.0,-128.90564643,0.000739,0.02276248,11060.11
15,15.0,-128.90505035,0.000725,0.02015325,11896.52
16,16.0,-128.90679645,0.000681,0.029063,12576.84
17,17.0,-128.90605432,0.000641,0.02428628,13266.44
18,18.0,-128.90727324,0.00069,0.04084006,14029.42
19,19.0,-128.9068397,0.000757,0.04669765,14845.25
20,20.0,-128.90634396,0.000726,0.02032432,15527.31
21,21.0,-128.90658244,0.000716,0.05304409,16229.06
22,22.0,-128.90774192,0.000655,0.04403724,16877.67
23,23.0,-128.90821517,0.000713,0.04714457,17567.11
24,24.0,-128.90697059,0.00077,0.05539993,18145.54
25,25.0,-128.90631805,0.000671,0.02112993,18702.89
26,26.0,-128.90760704,0.000722,0.0195313,19475.25
27,27.0,-128.90707953,0.000636,0.01779164,20265.52
28,28.0,-128.90676225,0.00101,0.01988651,21167.3
29,29.0,-128.90705379,0.000625,0.03257991,21998.11
30,30.0,-128.90593755,0.000713,0.015369,22851.14
31,31.0,-128.90759845,0.000805,0.02209584,23509.3
32,32.0,-128.90640817,0.000698,0.03219966,24332.87
33,33.0,-128.90676068,0.000901,0.01750177,25143.06
34,34.0,-128.90624186,0.000711,0.02310224,26015.81
35,35.0,-128.90753517,0.000668,0.03386136,26839.76
36,36.0,-128.90857786,0.000662,0.03096748,27416.49
37,37.0,-128.907294,0.000785,0.05642571,28108.98
38,38.0,-128.90763444,0.000682,0.02385702,28880.04
39,39.0,-128.90844901,0.0007,0.01937561,29549.5
40,40.0,-128.90673697,0.000849,0.0521808,30209.23
41,41.0,-128.90779158,0.000785,0.03406661,31060.77
42,42.0,-128.90576786,0.000857,0.0295202,31914.4
43,43.0,-128.90855965,0.00068,0.01819705,32735.97
44,44.0,-128.90759364,0.000907,0.1293958,33497.89
45,45.0,-128.90763914,0.000794,0.02093503,34226.72
46,46.0,-128.90633517,0.000657,0.03085204,35034.16
47,47.0,-128.90696064,0.000629,0.02060743,35886.02
48,48.0,-128.90740499,0.000684,0.02458688,36715.7
49,49.0,-128.90703622,0.000789,0.03160597,37423.75
